date,account,total_pnl,trade_count,win_count,loss_count,avg_size,total_volume,avg_leverage,max_leverage,long_trades,short_trades,win_rate,long_ratio,pnl_per_trade,cum_pnl,peak_pnl,drawdown,sentiment,lev_seg,freq_seg,perf_seg
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056,462,12,450,12.296536796536797,5681.0,1.0,1.0,139,323,0.026,0.3009,-708.8872,-327505.900056,-327505.900056,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.720035,3356,1361,1995,16.700055780691297,56045.3872,1.0,1.0,1572,1784,0.4055,0.4684,574.4147,1600229.819979,1600229.819979,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002,320,170,150,129.5396139866875,41452.67647574,1.0,1.0,145,175,0.5312,0.4531,64.3983,20607.446093000002,20607.446093000002,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.727055,3533,1537,1996,851.7958757769601,3009394.82912,1.0,1.0,1528,2005,0.435,0.4325,4.8397,37706.173148,37706.173148,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,1793.1602149999999,5,4,1,83.09891999999999,415.4946,1.0,1.0,3,2,0.8,0.6,358.632,1792.1602149999999,1792.1602149999999,0.0,Greed,High leverage,Infrequent,Consistent winner
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,29970.928216,1136,489,647,25.691708679577467,29185.78106,1.0,1.0,506,630,0.4305,0.4454,26.3829,31763.088431,31763.088431,0.0,Fear,High leverage,Infrequent,Consistent winner
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386016,6472,2872,3600,2773.3332751515914,17949012.9567811,1.0,1.0,3086,3386,0.4438,0.4768,18.832,121880.386016,121880.386016,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.095669,6794,2940,3854,1420.918087095279,9653717.483725324,1.0,1.0,3606,3188,0.4327,0.5308,1.5359,132315.481685,132315.481685,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,52215.729448,763,362,401,33318.957672346005,25422364.704,1.0,1.0,305,458,0.4744,0.3997,68.4348,52215.729448,52215.729448,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,116412.254606,2471,1319,1152,25288.359009307973,62487535.112,1.0,1.0,872,1599,0.5338,0.3529,47.1114,168627.984054,168627.984054,0.0,Fear,High leverage,Frequent,Inconsistent
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,0,3,0.08376666666666666,0.25129999999999997,1.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,Greed,High leverage,Infrequent,Inconsistent
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,2,0,2,0.5,1.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,Greed,High leverage,Infrequent,Inconsistent
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5564.01614,27,9,18,129.52782592592592,3497.2513,1.0,1.0,4,23,0.3333,0.1481,-206.0747,-5564.01614,0.0,-5564.01614,Greed,High leverage,Infrequent,Inconsistent
2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,36993.371011,156,73,83,29896.621032429488,4663872.881059,1.0,1.0,64,92,0.4679,0.4103,237.137,31645.109669000005,31645.109669000005,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-59349.677108,349,92,257,997.0207518338108,347960.24238999997,1.0,1.0,66,283,0.2636,0.1891,-170.0564,-27704.567439,31645.109669000005,-59349.677108,Fear,High leverage,Infrequent,Inconsistent
2024-10-27,0x39cef799f8b69da1995852eea189df24eb5cae3c,34983.381862,144,76,68,270.8673293055556,39004.89542,1.0,1.0,59,85,0.5278,0.4097,242.9402,34983.381862,34983.381862,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,-20526.462526,3445,1100,2345,2488.624521137881,8573311.47532,1.0,1.0,1589,1856,0.3193,0.4612,-5.9583,14456.919336000003,34983.381862,-20526.462526,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,7612.618288,191,79,112,2712.4343455497383,518074.96,1.0,1.0,112,79,0.4136,0.5864,39.8566,7612.618288,7612.618288,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45883.628955,141,79,62,764.2303244170213,107756.4757428,1.0,1.0,58,83,0.5603,0.4113,325.4158,53496.247243,53496.247243,0.0,Fear,High leverage,Infrequent,Inconsistent
2024-10-27,0x420ab45e0bd8863569a5efbb9c05d91f40624641,16102.56859,125,27,98,1084.744,135593.0,1.0,1.0,18,107,0.216,0.144,128.8205,16102.56859,16102.56859,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,183403.024142,258,63,195,215.64699596899226,55636.924960000004,1.0,1.0,83,175,0.2442,0.3217,710.8644,199505.59273200002,199505.59273200002,0.0,Fear,High leverage,Infrequent,Inconsistent
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,88,0,88,8550.477272727272,752442.0,1.0,1.0,88,0,0.0,1.0,0.0,0.0,0.0,0.0,Greed,High leverage,Infrequent,Inconsistent
2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.518105,43,38,5,2961.211063395349,127332.075726,1.0,1.0,0,43,0.8837,0.0,3731.4074,306013.966479,306013.966479,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862,671,324,347,939.1015946348734,630137.17,1.0,1.0,211,460,0.4829,0.3145,164.7212,416541.872341,416541.872341,0.0,Fear,High leverage,Infrequent,Inconsistent
2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904,3711,1255,2456,1186.5967464861114,4403460.52620996,1.0,1.0,1738,1973,0.3382,0.4683,18.6695,69282.42904,69282.42904,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094,4629,1692,2937,438.86966150844887,2031527.66312261,1.0,1.0,2270,2359,0.3655,0.4904,7.0605,101965.643134,101965.643134,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.167808,328,135,193,2375.65031097561,779213.302,1.0,1.0,183,145,0.4116,0.5579,186.2078,61076.167808,61076.167808,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224,3806,1885,1921,779.9780641933789,2968596.51232,1.0,1.0,1797,2009,0.4953,0.4721,161.1476,674403.995032,674403.995032,0.0,Fear,High leverage,Frequent,Inconsistent
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002,730,224,506,1.9103895890410958,1394.5844,1.0,1.0,357,373,0.3068,0.489,-10.8486,-7919.471032000002,-7919.471032000002,0.0,Greed,High leverage,Frequent,Inconsistent
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498007,1703,559,1144,0.40105379859072227,682.9946190000001,1.0,1.0,960,743,0.3282,0.5637,65.3144,77319.520636,77319.520636,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.37089299998,3737,1464,2273,0.21739105967353492,812.39039,1.0,1.0,2107,1630,0.3918,0.5638,59.9327,301287.891529,301287.891529,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,223,0,223,165.22878923766814,36846.02,1.0,1.0,223,0,0.0,1.0,0.0,0.0,0.0,0.0,Greed,High leverage,Frequent,Inconsistent
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,5777,2401,3376,33.95914431885061,196181.97673,1.0,1.0,2646,3131,0.4156,0.458,69.8462,403501.648209,403501.648209,0.0,Fear,High leverage,Frequent,Inconsistent
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.274031,250,250,0,21.124,5281.0,1.0,1.0,0,250,1.0,0.0,406.1571,101539.274031,101539.274031,0.0,Greed,High leverage,Infrequent,Consistent winner
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871,572,154,418,1763.5735123813286,1008764.04908212,1.0,1.0,346,226,0.2692,0.6049,12.2016,108518.614902,108518.614902,0.0,Fear,High leverage,Infrequent,Consistent winner
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992,202,104,98,4.455445544554456,900.0,1.0,1.0,104,98,0.5149,0.5149,1621.5149,327545.999992,327545.999992,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.195073,932,410,522,76.61551502145923,71405.66,1.0,1.0,299,633,0.4399,0.3208,105.4391,425815.195065,425815.195065,0.0,Fear,High leverage,Infrequent,Inconsistent
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418,419,12,407,266.7733651551313,111778.04,1.0,1.0,11,408,0.0286,0.0263,123.4787,51737.579418,51737.579418,0.0,Greed,High leverage,Infrequent,Inconsistent
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.434741,939,372,567,1896.5781363152291,1780886.87,1.0,1.0,574,365,0.3962,0.6113,364.1591,393683.014159,393683.014159,0.0,Fear,High leverage,Infrequent,Inconsistent
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.08419,3041,2506,535,87290.22407231832,265449571.40392,1.0,1.0,1409,1632,0.8241,0.4633,61.7698,187842.08419,187842.08419,0.0,Greed,High leverage,Frequent,Consistent winner
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.331877,1016,834,182,12750.904701220474,12954919.17644,1.0,1.0,545,471,0.8209,0.5364,36.9354,225368.57878699998,225368.57878699998,0.0,Greed,High leverage,Frequent,Consistent winner
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.043913,4885,3901,984,53739.54957338792,262517699.666,1.0,1.0,2321,2564,0.7986,0.4751,27.8829,361576.6227,361576.6227,0.0,Fear,High leverage,Frequent,Consistent winner
